# rubi-harness, symplex 0.23.0: 215 files, 72254 entries, 12 jobs, timeout 10 s, check timeout 30 s, wall 14 s
path	total	unsupported	verified	real_verified	unevaluated	wrong	undecided	timeout	panic	seconds
4 Trig functions/4.5 Secant/4.5.2.1 (a+b sec)^m (c+d sec)^n.mac	241	0	0	0	241	0	0	0	0	1.2
4 Trig functions/4.5 Secant/4.5.2.3 (g sec)^p (a+b sec)^m (c+d sec)^n.mac	286	0	0	0	286	0	0	0	0	1.7
4 Trig functions/4.5 Secant/4.5.3.1 (a+b sec)^m (d sec)^n (A+B sec).mac	634	0	0	0	634	0	0	0	0	3.2
4 Trig functions/4.5 Secant/4.5.4.1 (a+b sec)^m (A+B sec+C sec^2).mac	70	0	1	0	69	0	0	0	0	0.2
4 Trig functions/4.5 Secant/4.5.4.2 (a+b sec)^m (d sec)^n (A+B sec+C sec^2).mac	1373	0	0	0	1373	0	0	0	0	7.5
4 Trig functions/4.5 Secant/4.5.7 (d trig)^m (a+b (c sec)^n)^p.mac	471	0	2	0	469	0	0	0	0	1.5
4 Trig functions/4.6 Cosecant/4.6.0 (a csc)^m (b trg)^n.mac	70	0	0	0	70	0	0	0	0	0.1
4 Trig functions/4.6 Cosecant/4.6.1.2 (d csc)^n (a+b csc)^m.mac	59	0	0	0	59	0	0	0	0	0.2
4 Trig functions/4.6 Cosecant/4.6.1.3 (d cos)^n (a+b csc)^m.mac	16	0	0	0	16	0	0	0	0	0.1
4 Trig functions/4.6 Cosecant/4.6.1.4 (d cot)^n (a+b csc)^m.mac	23	0	0	0	23	0	0	0	0	0.1
4 Trig functions/4.6 Cosecant/4.6.11 (e x)^m (a+b csc(c+d x^n))^p.mac	84	0	1	0	83	0	0	0	0	0.3
4 Trig functions/4.6 Cosecant/4.6.3.1 (a+b csc)^m (d csc)^n (A+B csc).mac	24	0	0	0	24	0	0	0	0	0.1
4 Trig functions/4.6 Cosecant/4.6.4.2 (a+b csc)^m (d csc)^n (A+B csc+C csc^2).mac	1	0	0	0	1	0	0	0	0	0.0
4 Trig functions/4.6 Cosecant/4.6.7 (d trig)^m (a+b (c csc)^n)^p.mac	27	0	0	0	27	0	0	0	0	0.0
4 Trig functions/4.7 Miscellaneous/4.7.1 (c trig)^m (d trig)^n.mac	254	0	5	0	249	0	0	0	0	0.8
4 Trig functions/4.7 Miscellaneous/4.7.2 trig^m (a trig+b trig)^n.mac	294	0	13	0	281	0	0	0	0	1.2
4 Trig functions/4.7 Miscellaneous/4.7.3 (c+d x)^m trig^n trig^p.mac	397	0	4	0	393	0	0	0	0	1.6
4 Trig functions/4.7 Miscellaneous/4.7.4 x^m (a+b trig^n)^p.mac	9	0	0	0	9	0	0	0	0	0.0
4 Trig functions/4.7 Miscellaneous/4.7.5 x^m trig(a+b log(c x^n))^p.mac	250	0	3	0	247	0	0	0	0	0.6
4 Trig functions/4.7 Miscellaneous/4.7.6 f^(a+b x+c x^2) trig(d+e x+f x^2)^n.mac	142	0	15	0	127	0	0	0	0	0.4
4 Trig functions/4.7 Miscellaneous/4.7.7 Trig functions.mac	950	4	199	1	746	0	0	0	0	3.2
5 Inverse trig functions/5.1 Inverse sine/5.1.2 (d x)^m (a+b arcsin(c x))^n.mac	227	0	2	0	225	0	0	0	0	0.1
5 Inverse trig functions/5.1 Inverse sine/5.1.4a (f x)^m (d-c^2 d x^2)^p (a+b arcsin(c x))^n.mac	595	0	6	2	587	0	0	0	0	1.4
5 Inverse trig functions/5.1 Inverse sine/5.1.4b (f x)^m (d+e x^2)^p (a+b arcsin(c x))^n.mac	108	0	0	0	108	0	0	0	0	0.2
5 Inverse trig functions/5.1 Inverse sine/5.1.5 Inverse sine functions.mac	474	0	9	1	464	0	0	0	0	0.7
5 Inverse trig functions/5.2 Inverse cosine/5.2.2 (d x)^m (a+b arccos(c x))^n.mac	227	0	2	0	225	0	0	0	0	0.1
5 Inverse trig functions/5.2 Inverse cosine/5.2.5 Inverse cosine functions.mac	151	0	8	0	143	0	0	0	0	0.5
5 Inverse trig functions/5.3 Inverse tangent/5.3.2 (d x)^m (a+b arctan(c x^n))^p.mac	166	0	12	0	154	0	0	0	0	0.2
5 Inverse trig functions/5.3 Inverse tangent/5.3.3 (d+e x)^m (a+b arctan(c x^n))^p.mac	31	0	0	0	31	0	0	0	0	0.0
5 Inverse trig functions/5.3 Inverse tangent/5.3.4 u (a+b arctan(c x))^p.mac	1301	0	0	0	1301	0	0	0	0	2.1
5 Inverse trig functions/5.3 Inverse tangent/5.3.5 u (a+b arctan(c+d x))^p.mac	70	0	2	0	68	0	0	0	0	0.1
5 Inverse trig functions/5.3 Inverse tangent/5.3.6 Exponentials of inverse tangent.mac	385	0	0	0	385	0	0	0	0	0.8
5 Inverse trig functions/5.3 Inverse tangent/5.3.7 Inverse tangent functions.mac	153	0	8	0	145	0	0	0	0	0.5
5 Inverse trig functions/5.4 Inverse cotangent/5.4.1 Inverse cotangent functions.mac	234	0	9	0	225	0	0	0	0	0.5
5 Inverse trig functions/5.4 Inverse cotangent/5.4.2 Exponentials of inverse cotangent.mac	12	0	0	0	12	0	0	0	0	0.0
5 Inverse trig functions/5.5 Inverse secant/5.5.1 u (a+b arcsec(c x))^n.mac	174	0	0	0	174	0	0	0	0	0.2
5 Inverse trig functions/5.5 Inverse secant/5.5.2 Inverse secant functions.mac	50	0	1	0	49	0	0	0	0	0.1
5 Inverse trig functions/5.6 Inverse cosecant/5.6.1 u (a+b arccsc(c x))^n.mac	178	0	0	0	178	0	0	0	0	0.2
5 Inverse trig functions/5.6 Inverse cosecant/5.6.2 Inverse cosecant functions.mac	49	0	1	0	48	0	0	0	0	0.1
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.1 (c+d x)^m (a+b sinh)^n.mac	502	0	6	0	496	0	0	0	0	0.3
